Terminated Results Sample NCT #,Target Enrollment Sample (1=included; 0=excluded),Brief Title,Primary Purpose,Intervention Model,Blinding,Allocation,Intervention Type,Study Phase,Condition Category,Lead Sponsor Type,DMC (y/n) [Not available to the public - data removed],Single Site/Multiple Sites,Location Countries,Study Start Date,First Received Date,Primary Completion Date,Study Completion Date,Results First Received Date,Why Study Stopped,Why Study Stopped - Detailed Description Text (if any),Termination Category,Enrollment (Protocol),Enrollment (Protocol) Type,First Enrollment (Protocol),First Enrollment (Protocol) Type,Enrollment = n part started Part Flow (Column W=AC),"For adjudicated enrollment, which value was determined to be correct, E=protocol; F=participant flow",Total Number of Participants Started  Part Flow,ADJUDICATED N Participants Enrolled in Trial (use for all analyses),Max N participants Analyzed Any POM,# participants enrolled / first enrollment [Column AD/Y],SeriousAENAffected,SeriousAENAtRisk,"PUBMED LISTING INFO as of 31 Dec 2013 (0 = no, 1 = yes)",PMID as of 31 Dec 2013,"Termination Categories [Column V] 
"
NCT00281528,1,Weekly vs. Every 2 Week vs. Every 3 Week Administration of ABI-007 (Abraxane)/Bevacizumab Combination in Metastatic Breast Cancer,Treatment,Parallel Assignment,Open Label,Randomized,Drug|Drug,Phase 2,Cancers and Other Neoplasms|Skin and Connective Tissue Diseases|All Conditions|Symptoms and General Pathology,INDUSTRY,,Multiple,United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|Puerto Rico,6-Feb,24-Jan-06,10-Jul,11-Mar,17-Feb-12,sufficient mature data to complete a final analysis,,6,208,Actual,225,,TRUE,,208,208,208,0.92,70,208,0,,1 - Scientific Data
NCT00281827,1,"Carboplatin, Gemcitabine, and Thalidomide in Patients Undergoing Surgery for Stage II or III Non-Small Cell Lung Cancer",Treatment,Single Group Assignment,Open Label,Non-Randomized,Drug|Drug|Drug|Procedure,Phase 2,Cancers and Other Neoplasms|Respiratory Tract (Lung and Bronchial) Diseases|All Conditions|Rare Diseases,OTHER,,Multiple,United States|United States|United States,2-May,24-Jan-06,8-Mar,8-Jul,23-Jun-09,Due to drug unavailability,,3,22,Actual,21,,TRUE,,22,22,20,1.05,1,19,1,19633472,2 - No Scientific Data
NCT00281879,1,Donor Stem Cell Transplant or Donor White Blood Cell Infusions in Treating Patients With Hematologic Cancer,Treatment,Parallel Assignment,Open Label,Non-Randomized,Biological|Biological|Drug|Drug|Drug|Drug|Drug|Drug|Drug|Drug|Drug|Drug|Drug|Drug|Procedure|Procedure|Radiation,Phase 2,Viral Diseases|Cancers and Other Neoplasms|Blood and Lymph Conditions|Immune System Diseases|All Conditions|Heart and Blood Diseases|Symptoms and General Pathology|Diseases and Abnormalities at or before Birth|Rare Diseases,OTHER,,Single,United States,6-Feb,24-Jan-06,8-Feb,8-Mar,17-May-12,,,9,200,Actual,43,,TRUE,,200,200,0,4.65,155,200,0,,3 - No Reason Provided
NCT00282971,1,A Clinical Trial Assessing The Impact Of Inhaled Insulin On Glucose Control In Patients With Type 2 Diabetes Mellitus,Treatment,Parallel Assignment,Open Label,Randomized,Other|Drug,Phase 3,Respiratory Tract (Lung and Bronchial) Diseases|Symptoms and General Pathology|All Conditions|Nutritional and Metabolic Diseases|Gland and Hormone Related Diseases,INDUSTRY,,Multiple,Canada|Canada|Canada|Canada|Canada|Canada|Canada|Canada|Canada|Canada|Canada|Canada|Canada|Canada|France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|Greece|Greece|Greece|Greece|Greece|Portugal|Portugal|Portugal|Portugal|Portugal|Portugal|Spain|Spain|Spain|Spain|Spain|Spain|Spain|Spain|Spain|Spain|Spain|Spain|Spain|Spain|Spain|Spain|Sweden|Sweden|Sweden|Turkey|Turkey|Turkey,6-Mar,26-Jan-06,8-Feb,8-Feb,11-Feb-09,See termination reason in detailed description.,"The study was terminated on Nov. 9, 2007. This study pursued scientific questions that were complementary to the wealth of data already available for Exubera. Pfizer decided to cancel new trials because of the decision to withdraw Exubera due to lack of market performance and not for safety reasons.",16,354,Actual,610,,FALSE,E,351,354,349,0.58,14,,0,,2 - No Scientific Data
NCT00283049,1,"Insulin Glargine Injection Treatment in Place of Thiazolidinedione (TZD), Sulfonylurea, or Metformin in Triple Agent Therapy for Type 2 Diabetes Mellitus (T2DM) Adult Subjects With Unsatisfactory Control",Treatment,Parallel Assignment,Open Label,Randomized,Drug|Drug,Phase 4,Nutritional and Metabolic Diseases|Gland and Hormone Related Diseases|All Conditions,INDUSTRY,,Single,United States,6-Feb,26-Jan-06,8-Nov,8-Nov,16-Dec-09,Due to technical issues relating to the Electronic diary data.,,4,390,Actual,155,,FALSE,E,386,390,347,2.52,55,386,0,,2 - No Scientific Data
NCT00283842,1,Study Evaluating Desvenlafaxine Succinate Sustained-release (DVS SR) in Adult Outpatients With Pain Associated With Diabetic Peripheral Neuropathy,Treatment,Parallel Assignment,Double Blind,Randomized,Drug|Drug,Phase 3,Nervous System Diseases|Gland and Hormone Related Diseases|All Conditions|Symptoms and General Pathology|Diseases and Abnormalities at or before Birth|Substance Related Disorders|Nutritional and Metabolic Diseases|Behaviors and Mental Disorders|Rare Diseases,INDUSTRY,,Multiple,United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States,6-Mar,26-Jan-06,8-Jun,8-Jun,30-Jun-09,business reasons,,8,408,Actual,450,,TRUE,,408,408,296,0.91,12,,0,,2 - No Scientific Data
NCT00288054,1,"S0429: Docetaxel, Cetuximab, and Radiation Therapy in Treating Patients With Stage III Non-Small Cell Lung Cancer",Treatment,Single Group Assignment,Open Label,Non-Randomized,Biological|Drug|Radiation,Phase 1,Cancers and Other Neoplasms|Respiratory Tract (Lung and Bronchial) Diseases|All Conditions|Rare Diseases,NETWORK,,Multiple,United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States,6-Apr,6-Feb-06,12-Apr,12-Apr,26-Nov-12,Study closed early due to poor accrual.,,2,24,Actual,75,,TRUE,,24,24,22,0.32,5,22,1,24010120,2 - No Scientific Data
NCT00290199,1,Foley Catheter for Labor Induction in Women With Term and Near Term Membrane Rupture,Treatment,Parallel Assignment,Open Label,Randomized,Device,,"Urinary Tract, Sexual Organs, and Pregnancy Conditions|All Conditions|Wounds and Injuries",OTHER,,Multiple,United States|United States|United States,5-Dec,9-Feb-06,8-May,8-May,1-Jun-12,Gathering information from the PI records to provide this response.,,10,169,Actual,164,,TRUE,,169,169,152,1.03,0,169,0,,2 - No Scientific Data
NCT00290238,1,Percutaneous Neuromodulation Therapy (PNT) With Chronic Low Back Pain Patients,Treatment,Parallel Assignment,Double Blind,Randomized,Device|Device,Phase 4,Nervous System Diseases|Symptoms and General Pathology|All Conditions,INDUSTRY,,Multiple,United States|United States|United States|United States|United States|United States|United States|United States,5-Dec,8-Feb-06,7-Nov,8-Sep,25-Nov-08,Slow recruitment and high dropout rates,,2,122,Actual,150,,TRUE,,122,122,115,0.81,6,,0,,2 - No Scientific Data
NCT00290537,1,Phase II Study of ZD6474 in Advanced NSCLC,Treatment,Parallel Assignment,Open Label,Randomized,Drug|Drug|Drug,Phase 2,Cancers and Other Neoplasms|Respiratory Tract (Lung and Bronchial) Diseases|All Conditions,OTHER,,Single,United States,6-Jan,10-Feb-06,8-Apr,8-Apr,18-Mar-09,Accrual was suboptimal and increasing the number of patients was not feasible.,,2,4,Actual,120,,TRUE,,4,4,4,0.03,,,0,,2 - No Scientific Data
NCT00290771,1,Efficacy and Safety of Imatinib Mesylate Plus Hydroxyurea (HU) in Patients With Recurrent Glioblastoma Multiforme (GBM),Treatment,Parallel Assignment,Open Label,Non-Randomized,Drug|Drug,Phase 2,Cancers and Other Neoplasms|All Conditions|Rare Diseases,INDUSTRY,,Single,United States,6-Feb,10-Feb-06,8-Aug,8-Aug,20-Dec-10,Lack of efficacy,,6,231,Actual,110,,TRUE,,231,231,462,2.1,115,230,1,19904263,1 - Scientific Data
NCT00291551,1,Paracor Ventricular Support System (PVSS) for Patients With Heart Failure,Treatment,Single Group Assignment,Open Label,Non-Randomized,Device,Phase 1,Heart and Blood Diseases|All Conditions,INDUSTRY,,Multiple,United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States,5-Jan,10-Feb-06,7-Apr,11-Apr,14-Apr-11,Resources unavailable to continue study follow-up.,,1,39,Actual,30,,TRUE,,39,39,39,1.3,30,39,0,,2 - No Scientific Data
NCT00294723,1,To Evaluate the Effect of Liraglutide Versus Glimepiride (Amaryl??) on Haemoglobin A1c,Treatment,Parallel Assignment,Double Blind,Randomized,Drug|Drug|Drug|Drug|Drug|Drug|Drug,Phase 3,Nutritional and Metabolic Diseases|Gland and Hormone Related Diseases|All Conditions,INDUSTRY,,Multiple,United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|Mexico|Mexico|Mexico|Mexico|Mexico|Mexico|Mexico|Mexico|Mexico|Mexico|Mexico|Mexico|Mexico,6-Feb,20-Feb-06,8-Nov,10-Mar,23-Feb-10,Trial was terminated at week 195 due to an insufficient number of subjects remaining to obtain reasonable statistical power,,2,746,Actual,702,,TRUE,,746,746,711,1.06,73,888,1,18819705,2 - No Scientific Data
NCT00295490,1,Trial Evaluating Devil's Claw for the Treatment of Hip and Knee Osteoarthritis,Treatment,Parallel Assignment,Double Blind,Randomized,Drug|Drug,Phase 2,"Muscle, Bone, and Cartilage Diseases|All Conditions|Skin and Connective Tissue Diseases",OTHER,,Single,United Kingdom,4-Dec,21-Feb-06,7-Nov,8-Jun,19-Jun-09,unexpected withdrawal of funding,,1,67,Actual,264,,TRUE,,67,67,0,0.25,1,67,0,,2 - No Scientific Data
NCT00295880,1,Donor Umbilical Cord Blood Transplant By Injection Into the Bone Marrow in Treating Patients With Hematologic Cancer,Treatment,Single Group Assignment,Open Label,,Procedure,Phase 1|Phase 2,Cancers and Other Neoplasms|All Conditions|Blood and Lymph Conditions|Immune System Diseases|Symptoms and General Pathology|Rare Diseases,OTHER,,,,5-Jun,23-Feb-06,8-Aug,8-Aug,25-Mar-09,Time to engraftment would not be improved compared to historical controls.,,6,12,Actual,35,,TRUE,,12,12,10,0.34,5,12,1,19139736,1 - Scientific Data
NCT00300885,1,A Randomized Controlled Trial Comparing Safety and Efficacy of Carboplatin and Paclitaxel Plus or Minus Sorafenib (BAY 43-9006) in Chemonaive Patients With Stage IIIB-IV Non-Small Cell Lung Cancer (NSCLC),Treatment,Parallel Assignment,Double-Blind,Randomized,Drug|Drug,Phase 3,Cancers and Other Neoplasms|Respiratory Tract (Lung and Bronchial) Diseases|All Conditions,INDUSTRY,,Multiple,"United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|Argentina|Argentina|Argentina|Argentina|Argentina|Argentina|Argentina|Australia|Australia|Australia|Australia|Australia|Australia|Australia|Belgium|Belgium|Belgium|Belgium|Brazil|Brazil|Brazil|Brazil|Brazil|Brazil|Brazil|Brazil|Brazil|Brazil|Brazil|Brazil|Brazil|Brazil|Brazil|Brazil|Brazil|Brazil|Brazil|Brazil|Canada|Canada|Canada|Canada|Canada|Chile|Chile|Chile|Chile|France|France|France|France|France|France|France|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Hong Kong|Hungary|Hungary|Hungary|Hungary|Hungary|Italy|Italy|Italy|Italy|Italy|Italy|Italy|Italy|Italy|Korea, Republic of|Korea, Republic of|Korea, Republic of|Netherlands|Netherlands|Poland|Poland|Poland|Poland|Poland|Poland|Poland|Puerto Rico|Russian Federation|Russian Federation|Russian Federation|Russian Federation|Spain|Spain|Spain|Spain|Spain|Spain|Spain|Spain|Spain|Sweden|Sweden|Sweden|Taiwan|Taiwan|Taiwan|United Kingdom|United Kingdom|United Kingdom|United Kingdom|United Kingdom",6-Feb,8-Mar-06,7-Oct,9-Feb,4-Nov-09,"Based on the results of the interim analysis, it was determined that the study would not meet its primary efficacy endpoint and the study was terminated early.",,6,926,Actual,900,,TRUE,,926,926,926,1.03,467,922,1,20212250,1 - Scientific Data
NCT00302211,1,"The ""VISION"" Trial: Ventavis Inhalation With Sildenafil to Improve and Optimize Pulmonary Arterial Hypertension",Treatment,Factorial Assignment,Double Blind,Randomized,Drug|Drug|Drug|Drug|Drug,Phase 3,Respiratory Tract (Lung and Bronchial) Diseases|All Conditions|Symptoms and General Pathology|Heart and Blood Diseases|Rare Diseases,INDUSTRY,,Multiple,United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States,6-Feb,10-Mar-06,7-Dec,9-Nov,27-May-10,Terminated due to slow enrollment,,2,67,Actual,180,,TRUE,,67,67,125,0.37,28,125,0,,2 - No Scientific Data
NCT00306917,1,Clinical Study Comparing Two Implant Surface Finishes in Patients Undergoing Cementless Total Hip Replacement,Treatment,Parallel Assignment,Open Label,Randomized,Device|Device,Phase 4,"Muscle, Bone, and Cartilage Diseases|All Conditions|Skin and Connective Tissue Diseases|Immune System Diseases|Symptoms and General Pathology|Wounds and Injuries",INDUSTRY,,Single,United States,2-Nov,23-Mar-06,9-Jan,9-Jan,29-Jan-10,Terminated due to limited enrollment and follow up.,,2,245,Actual,400,,TRUE,,245,245,245,0.61,7,245,0,,2 - No Scientific Data
NCT00307931,1,Certolizumab Pegol for Treatment of Adult Greek Patients With Moderate to Severe Crohn's Disease Who Failed Infliximab,Treatment,Single Group Assignment,Open Label,,Biological,Phase 3,Digestive System Diseases|All Conditions,INDUSTRY,,Multiple,Greece|Greece|Greece|Greece|Greece,7-Apr,24-Mar-06,8-Aug,8-Aug,8-Sep-09,Study was terminated early because of slow recruitment,,2,16,Actual,50,Anticipated,TRUE,,16,16,16,0.32,3,16,0,,2 - No Scientific Data
